Program,Notes,Frequencies
"ALS 2","Potential causative viruses",5000|3636|2632|1850|1500|1488|1422|1189|1044|922|868|845|822|788|776|766|742|733|721|676|654|625|620|607|608|609|610|611|612|613|595|515|487|461|435|423|380|322|283|232|144|136|20
"ALS 3","Use 2900 for 60 min",2900
"ALS 4","Also use for MS",10000|5000|2900|2750|2700|2145|938|862|841|777|766|741|739|688|682|660|572|532|520|477|442|433|344|343|342|338|324|322|253|242|112
"ALS 5","Use 2900 for 20 min",2900|986|864|790|728|690|660|644|980|692|610|484|254
"Alternaria Tenuis","A fungus associated with lung ailments",853|304
"Alzheimers 1","Also see ALS sets",430|620|624|840|866|5148|2213|19180.5|742.4|303|23.2|3773.3|943.3|471.66|470.9|941.8|3767.3
"Alzheimers 2",,19180.5|2213|5148|866|840|624|620|430
"Alzheimers TR",,430|620|624|866|5148|2213|1918|742.4|303|23.2|2900|864|790|690|610|470|484|986|644|254|30|33|6
"Amenorrhea","Absence of menstruation",10000|880|1550|802|787|760|727|465|20
"Amoeba","A single celled, sometimes infectious microorganism",310|333|532|732|769|827|1522
"Amoeba Hepar Abcess","Liver abcess caused by amoebic infection",344|605|510|943
"Amoebic Dysentery","Use Entamoeba histolytica",
"Amyotropic Lateral Sclerosis","Use ALS",
"Anal Itching","Also use Parasites enterobiasis and see Parasites general set",10000|880|787|760|727|465|125|120|95|72|444|1865|20|773|826|827|835|4152
"Anaphylaxis",,10000
"Anaplasma Marginale HC",,19267.60|959.28|21010.14|1046.03
"Aneurysm",,880|787|760|727|465|125|95|72|444|1865|20|727
"Angina Quinsy","Inflammation of lymph gland in throat",787|776|727|690|465|428|660
"Angina Pectoris",,3|230|2720|2170|1800|1600|1500|880|832|787|776|727|465|444|1865|125|95|72|20|660|7.83
"Ankylosing Spondylitis","Arthritis of the spine. Use 326 longer periods after buildup",3000|95|1550|802|880|787|776|727|650|625|600|28|10|35|28|7.69|1.2|110|100|60|428|680|326
"Anosmia","Loss of smell",20|10000
"Anthrax","Also see Bacillus_anthracis_HC",4000|16655|1370|1365|930|900|768|633|500|420|414|400|273|224|129
"Anthrax 1",,644|643|642|639|638|637|634|633|632|629|628|627|624|623|622
"Antiseptic","Use General antiseptic",
"Anxiety 1","General anxiety disorder. Use 1.5 for 3 min, 6.8|7.8 for 5 min, 95 for 3 min, 10000 for 5 min",1.5|6.8|7.8|95|10000
"Apoplexy Stroke Paralysis",,40|1800|880|787|727|650|625|600|125|95|72|20|1865|522|428
"Appendicitis","Seek medical help! If micro perforation has occurred, infection must be eliminated before drinking any water or eating. Even a few drops of water may be fatal",1550|802|880|787|727|444|380|190|10|650|444|522|125|95|72|20|522|146|440|450
"Appendicitis 1",,1770|1570|880|807|804|1550|802|787|728|690|660|622|650|625|600|450|1865|444|440|380|190|146|125|522|95|72|20|10
"Appetite Lack Of",,465|444|1865|125|95|72|20|10000|880|787|727
"Arenas Tennus",,667
"Arnica","A topical healing herb",1042|1032
"Arryhthmia Heart TR","Also use magnesium, CoQ10|and fish oil",696|7.83
"Arsenic Alb","Homeopathic cell salt",562
"Arteriosclerosis","Hardening of the arteries; regeneration takes time. Also try nanobacteria, coxsackie, and CMV freqs",10000|2720|2170|1800|1600|1500|880|787|776|727|20
"Arthritis A",,1500|727|784|880
"Arthritis Arthralgia Due To Gout",,9.39
"Arthritis","Arthrosis and parathyroid disturbances affecting calcium metabolism",9.6
"Arthritis","Focal origin gastrogenic tonsiltogenic and paresis",9.39
"Arthritis General","Use Strep pneumonia and Mycoplasma general if needed",10000|5000|2720|1664|1550|1500|962|880|802|800|787|776|766|727|688|683|650|625|600|120|20
"Arthritis 1","Use 1.5 for 10 min, 120 for 20 min",10000|5000|3176|3000|2720|1664|1550|1500|880|802|787|770|728|690|660|512|250|230|120|100|80|60|40|30|28|26|25|20|10|9.4|9.39|7.7|7.69|3|1.5|1.2
"Arthritis Rheumatoid","Cause could be bacteria like strep pneumoniae, chlamydia pneumonia, mycoplasma fermentans, or dental bacteria which must be addressed too. Also try General antiseptic and Parasites roundworms general if no response. Use 766 longer periods after building up.",250|1.2|650|625|600|787|727|262|776|766
"Arthritis Secondary",,2720|1000|1500|770
"Asian Grippe A",,516|656|434
"Aspergillus Flavus","Mold found on corn, peanuts, and grain that produces aflatoxin",1823|247|1972
"Aspergillus General",,1972|1823|758|743|697|524|374|339|247
"Aspergillus Glaucus","Blue mold occurring in some human infectious processes",524|758
"Aspergillus Niger","Common mold that may produce severe and persistent infection",374|697
"Aspergillus Terreus","Mold occasionally associated with infection of the bronchi and lungs",743|339
"Asthma","Also see Liver support and Parasites ascaris and use Mycoplasma general if needed",7344|3702|3672|2720|2170|1800|1600|1500|1283|1234|1233|880|787|727|522|444|146|125|95|72|20|0.5
"Asthma 1",,1283|1233|4.7
"Asthma 2","All frequencies for 5 min",1234|3672|7346|727|787|880|10000|47|120
"Asthma V",,3125|3124|890|886|871|822|782|756|712|665|633|521|515|487|434|411|322|263|172|128
"Astrocytoma","Use Cancer, astrocytoma",
"Ataxia","Incoordination of muscles. Slow results in some cases",2720|2170|1800|1600|1500|880|787|776|727|650|625|600|444|1865|125|95|72|20
"Ataxia Spastic",,9.19|8.25|7.69
"Atherosclerosis","Commonly present microbes in plaque are herpes zoster and Chlamydia pneumonia, this set combines the two. Also use magnesium and vitamin C to help reduce mineral deposits",7543.4|7520.5|4710.5|3773.3|3760.3|1886|1880|943.3|940|620|479|471.66|470.9|941.8|3767.3|7160|3343|2431|2323|1577|1544|40887|958|934|787|786|738|718|716|686|668|643|576|574|573|572|563|554|542|453|446|436|425|423|411|345|333|223|134
"Athletes Foot","Also see Epidermophyton floccinum, Tinea, and Trichophyton rubrum freqs. Use all freqs for 5 min",20|379|727|787|880|5000|644|766|464|802|1552|9999|752|923|3176|304
"Atmenic Alb",,562
"Attention Deficit Disorder","Probably important to avoid preservatives, aspartame, dyes, MSG, and other potential toxins, plus limit sugar and starches but ensure adequate protein and good oils in the diet. Try Shigella, Chlamydia pneum.|and General antiseptic",
"Autism","Must do mercury and aluminum detox if a problem. Try Measles_w_vaccine.",
"Autointoxication",,522|146|1550|10000|800|880|787|727|20
"Babesia",,76|570|1583|1584|432|753|5776
"Bacillinum","Homeopathic nosode",132|423|432|785|853|854|921|1027|1042|1932
"Bacillus Anthracis HC",,19665.89|18122.49|18321.64|19317.38|961.76|912.18|902.27|979.11
"Baccilus Cereus",,18645.26|928.29
"Bacillus Coli Rod Form",,8020|800|683|417|318
"Bacillus Coli Virus",,17220|11103|8581|2872|1722|1552|770
"Bacillus Infections","B. coli, B. coli rod",787|880|802|727|1552|800
"Bacillus Lichenoformis",,2655|21554
"Bacillus Subtilis","Can cause conjunctivitis",432|722|822|1246
"Bacillus Subtilis Niger HC",,19168.02|18919.09|18670.15|954.32|941.93|929.53
"Bacillus Thuringiensis",,520|2551|902|1405
"Backache 1","If no relief from these, use kidney stimulation freqs, magnesium and B6|and drink plenty of water. Use 212 and 305 for 6 min and 33 for 5 min",10000|1550|880|802|787|760|727|305|212|41.2|33
"Backache 2",,787|784|776|728|727|465|432|9.6|9.4|9.3|7.7|7.6|3|0.5
"Backache And Spasms 1",,120|212|240|424|465|528|760|727|787|880|1550|2112|5000|10000
"Backache Chronic Lower 1","Use with back toward tube. Use 728 for 30min",728
"Bacteria Lactis Nosode",,512|526|798|951|5412
"Bacterial Capsules HC",,20786.10|17923.34|1034.88|892.35
"Bacterial Infections General","If bacterial infection is chronic and the type is accurately diagnosed and neither frequencies nor antibiotics are effective long term, also use Parasites general and roundworms sets. Also see General antiseptic and specific types.",20|465|866|664|690|727|787|832|800|880|1550|784
"Bacterium Coli","A type of E. coli normally found in the intestines, water, milk, and soil that is the most frequent cause of urinary-tract infections and a common cause of wound infection",642|358|539
"Bacterium Coli Commune Combination",,282|333|413|957|1320|1722
"Bacteroides Fragilis","Use with Parasites ascaris set",633|634|635|636|637
"Bacteroides Fragilis HC",,16180.80|16230.58|808.07|805.59
"Bad Breath","Use Halitosis",
"Bakers Yeast Allergy","Homeopathy preparation",775|843|1000
"Balantidium Coli HC","Cysts. B. coli is the largest ciliated protozoon found in humans and can cause a severe colitis with ulcerations",22902.05|1140.23
"Bantis Syndrome","Ailment in which blood vessels between the intestines and the liver become blocked, leading to congestion of the veins, an enlarged spleen, bleeding of the stomach and intestines, cirrhosis of the liver, and blood cell destruction.",1778
"Barley Smut","Homeopathic preparation for an allergen",377|224|1447
"Barretts Esophagus 1","Changes in esophageal cells usually caused by acid reflux. use 2127.5 for 6 min",10000|880|802|787|776|676|727|20|146|2127.5
"Bartonella Henslae","Virus which causes cat scratch fever",364|379|645|654|786|840|842|844|846|848|850|857|967|6878|634|696|716|1518
"Basidiomycetes",,751
"BC G Vaccine",,277|768|832|725
"Bed Wetting","Enuresis. See also Parasite general, pinworm, and ascaris freqs",1550|880|802|787|727|465|120|112|7.83
"Bedsores",,880|1550|802|787|784|728|727|465|20|1.2|73
"Bells Palsy 1","Also see Herpes_general",2.4|3|3.9|7.83|20|27.57|33|35|40|47.5|57.5|72|90.88|110|125|194|222|304|393.5|464|565.5|600|625|650|727|776|787|833|880|932.5|1250
"Bermuda Smut","Homeopathic preparation for an allergen",422|767|847|971|644|780
"Besnoitia HC","Protozoan taken from lung sect.",17823.77|887.39
"Beta Streptococcus HC",,19168.02|954.32
"Bile Duct 1","Spasms and pain",2|2.2|2.5|2.7|3.2|3.5
"Biliary Cirrhosis","An inflammatory condition in which bile flow through the liver is obstructed",381|514|677|2271|1250|170|715|774|776
"Biliary Headache",,8.5|3.5
"Biliousness",,1550|802|10000|880|832|787|727|465
"Bilirubin","A bile pigment that may result in jaundice in high concentrations. See also Liver support",717|726|731|863|9305|649|734
"Black Widow Spider",,376|728
"Bladder And Prostate Complaints",,2050|880|1550|802|787|727|465|20|9.39
"Bladder TBC",,642|771|360|726|724
"Blastocystis Hominis","595*, 13469*",365|595|844|848|1201|1243|5777|11425|11841|11967|13145|13469|21776
"Blepharisma",,3120
"Blepharisma HC",,20238.44|1007.61
"Blood Diseases",,880|787|727
"Blood Pressure High","Use Hypertension",
"Blood Pressure Low","Use Hypotension",
"Blue Cohosh","A healing herb",364
"Boils","Use Furunkulosis",
"Bone Disease And Periodontal Disease","See Osteo freq. Use 728 for 15min. combine with adequate nutrition, especially protein and essential fatty acids, and minerals, especially calcium and magnesium",47.5|1800|1600|650|625|600|880|787|776|728
"Bone Regeneration","Combine with adequate nutrition, especially protein, and minerals, especially calcium and magnesium",2720|10000
"Bone Spurs","Also use mineral supplement plus high dose bromelain and water",1.2|120|250
"Bone Trauma","Cuts, fractures",380|1550|802|10000|880|787|727|2720
"Bordertella Pertussis HC",,16479.52|820.47
"Borrelia","Use Lyme disease",
"Borrelia Burgdorferi HC","Causes Lyme disease, see also Lyme_disease",18919.09|941.93
"Botrytis",,1545
"Botrytis Cinereas",,1132|212
"Botulinum","A bacillus that causes an often fatal form of food poisoning",518|533|639|172|1372|691|683|253|435|668|775|2688|660|690|727|802|1550|831|1552|10000
"Brachial Neuralgia",,0.5
"Brain Beta Stim TR","7.83 run at duty 5|22 and 19.5 run at duty 30 and pulse 7.83 50",7.83|22|19.5
"Brain Tumor","Use specific type : Cancer, droglioma, astrocytoma, and or glioma",
"Branhamella Moraxella Catarrhalis",,2013|579|581|687|770|772|775|778|2013
"Branhamella Neisseria Catarrhalis HC",,19715.68|981.59
"Breast Fibroid Cysts","Also use black walnut hull capsules and mixed tocopherols if possible",1550|1384|880|802|787|776|727|690|666|267
"Breast Tumor Benign TR","Also include sweep from 19351.563 to 10406.25 by .03125 dwell 1",174|482|785|1132|5311|3965|405|633|191|178|731|6646|178|739.8|2959.4|1234|3702|3672|7344|7760|10357|10380
"Breathing Deep",,1234|3702|3672|7344|7760
"Brights Syndrome","Use Nephritis",
"Bronchial Asthma","Use Asthma",
"Bronchial Pneumonia","Use Pneumonia, bronchial",
"Bronchiectasis","Chronic dilatation of the bronchi",342|510|778
"Bronchitis",,7344|3672|1234|880|743|727|683|464|452|333|72|20|9.39|9.35
"Bronchitis Secondary",,776|766|688
"Bronchopneumonia Borinum","Use Pneumonia, bronchial",
"Brown Recluse Spider Bite","Also use a lot of Echinacea and vitamin C",724|884|1830|3260|30008
"Brucella Abortus","Undulant fever or Bang's bacillus, found in cattle",1423
"Brucella Melitensis","Form of Brucella found in goats and sheep",748|643|695
"Bruises",,9.1|110|10000
"Bubonic Plague","Use Versenia pestis",
"Bubonic Plague Secondary Infections",,880|787|727|20
"Bunion Pain",,20
"Burns",,190|10000|880|787|727|465|200
"Bursitis","May be caused by any number of organisms and viruses; experiment with arthritis frequencies as well.",880|787|727
"BX Virus","Use Cancer_BX_virus",
"BY Virus","Use Cancer_BY_virus",
"Caeliacia",,674
"Calcifications",,326
"Calming",,6000
"Campylobacter","Bacteria causing sudden infectious diarrhea in newborns, 732*, 1633*, 333*",732|733|1633|1834|2222|786|768|523|333|378|705.86|2823.5
"Campylobacter Fetus HC","Smear",18321.64|912.18
"Campylobacter Pyloridid HC",,17674.41|879.96
"Cancer","Basic comprehensive set. A complete set like this, or rotation of the general cancer sets, or Rife Technology's intensive carcinoma and sarcoma banks are used as Basic sets. Sets listed below for specific types are to be used in addition to basic sets. Also add frequencies determined to be beneficial from scans. Increase run times on frequencies thought to be most effective as detox allows. Don Tunney now includes E_coli_1 frequencies with Resonant Light’s intensive regimens. Also use 11,780,000Hz if device is capable. James Bare states that 10025 may be master frequency for cancer in general, 10026 for sarcoma. Use + and - 3Hz sweep about 10025|building up to longer periods like 5 min per freq, 2128*",10000|11780|21275|17034|11430|10025|6766|6064|5000|3713|3176|3040|2950|2876|2790|2720|2452|2189|2182|2128|2127|2084|2048|2008|1604|1552|1489|880|854|800|784|776|766|728|690|683|676|666|524|464|333|120|20
"Cancer Adenocarcinoma",,47|2182|2219|832|2084|2127|2160|2452|2876
"Cancer Adenoma",,433
"Cancer Astrocytoma","Common tumor of brain and central nervous system",857|9.19|8.25|7.69|2170|543|641|2127|880|690|666
"Cancer Bladder Secondary","Use Parasites, schistosoma",
"Cancer Bladder TBC","Transitional bladder carcinoma",642|771|360|726|724
"Cancer Breast",,3072|2950|2876|2191|2189|2187|2184|2182|2152|2128|2127|2120|2116|2112|2104|2100|2008|1550|866|802|732|676|666|166|120
"Cancer Breast 1",,3672|2008|2063|2103|2128|2146|2133|2162|2173|2180|2189|2208|2263|2289|2333|1865|444|125|95|72|48
"Cancer Breast 2",,656|127|1582|478|982|2134|2120|9000|9999|304
"Cancer Breast 3","Use 2128 for 56min",2128|33|1131
"Cancer Breast Secondary",,422|942|4412|1862|808|1552|728|2720|1234|690|2160|2136|477|28|317|96|3176|3040|2145|2048|1830|2112
"Cancer BX Virus","Carcinoma virus. Sweep up and down 1000hz on MHz freqs and use 0.01Hz sweep on 2876 and 2790|2128*, 11780000*",11780000|17033662|1604368|21275|17034|46015.6|23007.8|11503.9|10025|3713|2876|2790|2128|2008|1604
"Cancer BX2 TR","Also use 21275|20080|17220|1604000|11780000 if device capable",5318.8|8610|8020|5278.3|1675|5020|2128|2127.5|2127|2663|334|2655|5388.5|2385|6687.3|3324|8836.9|2521|7356|2787.5|5575|8368.2|1566.4|2008|5013|5013.5|10025|10026|10027|7037.5|263.11
"Cancer BY Virus","Sarcoma virus, also use Cancer_sarcoma",11430000|20080|17034|11780|11430|3524|2128|2008
"Cancer Carcinoma Basal Cell Skin","Use 2116 for 30min, others for 5 min, 2116*",2116|760|2128|2280|2876
"Cancer Carcinoma Basal Cell Skin 1","Use with 5Hz fuzz",11546700|11546730|11546750|11546760|11546870|11546900
"Cancer Carcinoma Bronchial",,462|776|852|1582|2104|2144|2184|3672
"Cancer Carcinoma Colon","656*",656
"Cancer Carcinoma General",,2128|1820
"Cancer Carcinoma Larynx",,327|524|731|1133
"Cancer Carcinoma Liver 1",,393|479|520|734|3130
"Cancer Carcinoma Liver Fermentative",,214
"Cancer Carcinoma Liver Secondary","Use Hepatitis B and Parasites, fluke, liver",
"Cancer Carcinoma Original Crane",,21275|2127.5
"Cancer Carcinoma Scan",,728|690|2008|2104|2112|2120|2128|2136|2144|2152|2160|2168|2176|2184|2192|2200|2217|5000|9999|304
"Cancer Carcinoma Uterine Fermentative",,127
"Cancer Cells Conidium Head",,728
"Cancer Cervical Secondary","Use Papilloma and Herpes viruses",
"Cancer Droglioma","See also Cancer, glioma, astrocytoma",853
"Cancer Experimental Additional Frequencies",,55.56|6.8|66.5|440|778|1050|1550|2180|663|3672
"Cancer Fibrosarcoma","Malignancy containing connective tissue and developing rapidly from small bumps on the skin",1744
"Cancer Fibrous Tumor Secondary",,1340
"Cancer Gastric Adenocarcinoma",,676
"Cancer General 1",,10000|5000|3176|2720|2489|2189|2184|2128|2084|2050|2008|880|854|800|784|728|666|524|464|333|304|120
"Cancer General 2",,10000|3176|3040|2720|2489|2182|2127|2048|2008|1862|1552|880|802|786|727|665|664|465|304|125|96|72|64|20
"Cancer General 3",,10000|3176|2950|2180|2128|2049|2008|1865|1488|943|886|866|776|732|728|690|676|650|523|442|414|304|240|128
"Cancer Glioblastoma",,720|2008|2128|2180|2182|728|832|800|664|20|855|543|641|857
"Cancer Glioblastoma Tremor",,463|466|470
"Cancer Gliomas","Largest group of brain cancers",543|641|857
"Cancer Harmonic Series","May be based on original Rife/Hoyland cancer frequencies. Extend harmonic series with 66.5 as base, up to 10,000Hz, in this manner: Base*1|2|3|4|5|6|7|8|9|10|etc",66.5|133|199.5|266|332.5|399|465.5|532|598.5|665
"Cancer Hodgkins Disease","A form of malignancy characterized by enlargement of the lymph nodes, spleen, and lymph tissue and often includes weight loss, fever, night sweats, and anemia. Also called lymphogranuloma. Also see Chlamydia pneumoniae, Pseudomonas, Penicillium, Aspergillus, and Rhizopus.",552|1522
"Cancer Hodgkins TR",,1552|552|5318.8|8610|8020|5278.3|1675|5020|2127|2663|334|2655|5388.5|2385|6687.3|3324|8836.9|2521|7356|2787.5|5575|8368.2|1566.4|2008|5013|5013.5|10025|10026|10027|7037.5|263.11
"Cancer Kaposis Sarcoma","Also use Herpes type 8",249|418|647
"Cancer Leukemia","Also use Leukose",2127|2008|880|787|727|690|666|2217
"Cancer Leukemia Feline","Cat",258|332|414|424|535|536|544|830|901|918|997|741|743|1071.5
"Cancer Leukemia Hairy Cell","Typified by abnormal blood cells & shortage of others",122|622|932|5122|488|781
"Cancer Leukemia Lymphatic",,478|833
"Cancer Leukemia Myeloid","Characterized by rapid growth of incompletely formed white blood cells",422|822
"Cancer Leukemia T Cell",,222|262|822|3042|3734
"Cancer Leukemia TR",,2127|2008|880|822|787|727|690|666|590|10000|2008|1850|450|440|422|428|2030|2030|2030|465|15|14|6.8
"Cancer Liver","Use Cancer, carcinoma, liver",
"Cancer Liver Secondary","Use Hepatitis B and Parasites, fluke, liver",
"Cancer Lung","Use Cancer, carcinoma, bronchial",
"Cancer Lymphogranuloma Lymphoma","Use Hodgkin's disease",
"Cancer Lymphogranuloma Venereum Secondary","Use Chlamydia trachomatis",
"Cancer Lymphosarcoma",,482
"Cancer Maintenance Secondary",,120|250|428|465|600|626|650|661|664|667|690|728|776|784|800|802|832|880|1489|1550|1600|1865|2000|2012|2100|2170|2490|2730
"Cancer Melanoma 1",,10000|2217|2128|2127|2050|2008|1050|1000|880|787|728|666|495|465|450|125|100|95|80|60|45|20|10|7.5
"Cancer Melanoma 2",,2217|2128|2050|2008|1552|1102|1050|1000|979|907|880|802|787|728|666|495|466|465|450|125|110|100|95|80|60|45|20|10|7.5
"Cancer Melanoma Metastasis",,979
"Cancer Multiple Myeloma",,21275|11780|5122|4750|4213|2950|2145|2128|2107|2008|1488|822|781|647|526|475|422|418|263|249
"Cancer Mycosis Fungoides","A form of skin cancer resembling eczema",852
"Cancer Nasopharyngeal Secondary","Use EBV",
"Cancer Neuroblastoma","Exp",7027|6148|5270|4392|3513|2635|1757|878
"Cancer Non Hodgkins 1","Also use Cancer, Melanoma",574|588|666|778|1078|1120|1340|1744|3524|3713
"Cancer Non Hodgkins 2","Also use Simian_virus_40",2008|2004|2012|2116|2128|3672|7760
"Cancer Not Killed By 2008 2128",,2180|2182|2184
"Cancer Pain",,3000|95|2127|2008|727|690|666
"Cancer Pancreatic","Use Cancer_adenocarcinoma",
"Cancer Plasmacytoma","A tumor with plasma cells that occurs in the bone marrow, as in multiple myeloma, or outside of the bone marrow, as in tumors of the inner organs and lining of the nose, mouth, and throat",475
"Cancer Prostate","Also see Prostate adenominum and Prostate hyperplasia",20|60|72|95|125|666|727|787|790|766|800|920|1998|1875|442|2008|2127|2128|2217|2720|2050|2250|5000|2130|2120|690|304
"Cancer Prostate 1","Use all freqs for 6 min after assessing detox",2128|2125|2131|2140|2145|666|3672
"Cancer Prostate Vega 1",,854|1840|2145|2288
"Cancer Rhabdomyosarcoma 1",,2000|2005|2008|2016|2048|2084|2093|6024|2100|2128|2127|2184|2217|6384|728|784|880|464
"Cancer Rhabdomyosarcoma Embryonal","2586*",6384|6024|2586|2217|2184|2128|2127|2100|2093|2084|2060|2048|2040|2032|2016|2008|2005|2000|880|784|728|464
"Cancer Rhabdomyosarcoma Embryonal V",,2586|5476|4445
"Cancer Sarcoma General","BY",1755|3524|2007.5|2005|2015.9|2083.8|728|880|802|785
"Cancer Skin","Use Cancer, carcinoma, basal cell skin and specific forms",
"Cancer Stomach Secondary","Use Helicobacter pylori",
"Cancer Tertiary",,20|421|965|50|383
"Cancrum Oris","Rapidly growing oral or nasal ulcer",20|727|787|802|880
"Candida","Also see Parasite general, roundworm, and ascaris if these don't work long term. Some think that chronic candida cannot be cured unless toxic metal accumulation is reduced or eliminated by using a metals cleanse. 464*",3176|2644|1403|1151|943|886|877|866|762|742|661|465|464|450|414|412|386|381|254.2|120|95|64|20
"Candida 1",,10000|5000|3176|2489|1395|1276|1160|1044|928|877|812|728|696|580|465|464|381|348|232|116|58|20
"Candida 2","Includes candida carcinomas and tropicalis",1403|675|709|2167|2128|2182|465|20|60|95|125|225|427|464|727
"Candida Albicans HC",,19217.81|956.80
"Candida Carcinomas",,2167|2128|2182|465
"Candida Secondary","Also use other parasite sets esp roundworm freqs if necessary",72|422|582|727|787|802|1016|1134|1153|1550|2222|412|543|2128
"Candida Sweep TR","Sweep from 12006.25 to 12137.5 by .03125 dwell 0.5 pulse 64 75",
"Candida Tertiary","Some causal factors",880|95|125|20|60|225|427|240|650|688|152|442|8146|751|1146
"Candida Tropicalis",,1403|675|709
"Canine Parvovirus",,185|188|323|428|433|562|613|622|1000|4027
"Canine Parvovirus Mutant Strain",,323|514
"Canine Parvovirus Type B",,323|535|613|755|761|764|766|768
"Canker Sore","Use Stomatitis aphthous",
"Carbo Animalis","Homeopathic remedy from animal bone charcoal",444
"Carbuncles","Use Staphylococcus aureus",
"Cardiacedema",,9.19
"Carpal Tunnel Secondary","Also use Arthritis",2008|666
"Carvularia Spiratera",,879
"Cat Scratch Fever","Use Bartonella henslae",
"Cataract","Also use eye formula antioxidant supplement for all macular degeneration problems, use 1830 for 10 min, 1830*",1830|728|784|787|800|880|10000
"Cataract 1",,1830|1600|9999|1552|2110|1335|1654|2187|2195|2211
"Cataract 2",,292|30|9.1|0.3
"Cataract Brunescent","Brown opacity in later life, 1830*",2010|1335|1830
"Cataract Complicated","Secondary type caused by disease, degeneration, or surgery, 1830*",1830|496|325|774
"Cataract General","Run 1830 extended period, 1830*",10000|2211|2195|2187|2110|2010|1830|1654|1600|1552|1335|1335|880|800|787|784|774|728|496|325
"Catarrh",,1800|1713|1550|802|800|880|787|727|444|20
"Causticum",,540|1013
"Celiac Disease 1",,39|2|3|4.18|5.13
"Cells Of Leudig","Colon tonic",2500
"Cephalosporium","Fungi that are the source of some broad spectrum antibiotics",481|3966|544
"Cephalothecium",,371|574|6933
"Cerebral Palsy",,880|787|727|522|146
"Cerebrospinal Troubles",,10000
"Cerumen","Ear wax",311|320|750|984|720
"Cervical Polyp",,277|288|867|687|744
"Cervicitis"," womb neck inflammations",20|727|787|880
